"","coral_id","species","final"
"1",50,"acr",10.2688331991763
"2",45,"acr",8.80756425223378
"3",43,"acr",8.37886389871438
"4",52,"acr",9.59428318055613
"5",46,"acr",8.30664555959104
"6",53,"acr",7.84567743752716
"7",57,"acr",7.78575158165886
"8",47,"acr",8.54173930184361
"9",51,"acr",8.79066208775811
"10",54,"acr",10.9570358471457
"11",58,"acr",9.2733487502295
"12",44,"acr",9.43018535651758
"13",56,"acr",7.82645417653261
"14",55,"acr",10.1620895191953
"15",49,"acr",7.83106701789402
"16",48,"acr",11.0708192673939
"17",41,"acr",8.52453083589327
"18",42,"acr",8.88279484829644
"19",46,"por",28.839484191561
"20",48,"por",32.0146566620011
"21",58,"por",22.7889739391728
"22",43,"por",26.4638708904328
"23",47,"por",17.4150137531254
"24",44,"por",45.5533460577515
"25",52,"por",30.799941770162
"26",51,"por",28.5411871168562
"27",54,"por",20.3380175624748
"28",45,"por",22.3799686717941
"29",42,"por",29.4022508376535
"30",49,"por",21.6003984817151
"31",56,"por",23.5869954946975
"32",50,"por",28.0445378636107
"33",57,"por",20.830053974359
"34",53,"por",27.0497017433323
"35",41,"por",19.058722891576
"36",55,"por",31.4395891056114
