"","coral_id","species","initial"
"1",43,"acr",7.10953120848782
"2",49,"acr",6.4717192117888
"3",56,"acr",6.34469166527641
"4",52,"acr",7.85698803480805
"5",45,"acr",7.39300320702071
"6",46,"acr",6.82873347409202
"7",41,"acr",6.95709815267296
"8",57,"acr",6.36608577837324
"9",48,"acr",8.69002131351557
"10",51,"acr",6.89157868131394
"11",55,"acr",8.64589595525338
"12",54,"acr",8.77559776590286
"13",58,"acr",7.55479618731543
"14",44,"acr",7.89041633652184
"15",42,"acr",7.41439732011754
"16",50,"acr",8.67531286076151
"17",53,"acr",6.34068026907076
"18",47,"acr",7.08679996332244
"19",57,"por",17.74106828554
"20",52,"por",26.6222994848585
"21",48,"por",27.2547629532833
"22",44,"por",38.9653656096565
"23",43,"por",22.772696259499
"24",58,"por",19.4004491826123
"25",45,"por",18.7439173369536
"26",46,"por",25.0311123232823
"27",55,"por",27.0368104261094
"28",54,"por",17.0002971195626
"29",41,"por",16.4346902545653
"30",50,"por",24.0657029697882
"31",42,"por",24.9495472671006
"32",53,"por",22.9906487866728
"33",56,"por",19.6932811056251
"34",49,"por",17.8801300206694
"35",47,"por",14.8394916967835
"36",51,"por",24.5952072689345
